00:00:02.430	2.43	00:00:06.090	6.09	00:00:03.660	3.66	Bajunggurr-warra nyangandi darni nganinggin-garr lagla-warr
00:00:06.675	6.675	00:00:07.665	7.665	00:00:00.990	0.99	Nana dadi
00:00:08.487	8.487	00:00:11.710	11.71	00:00:03.223	3.223	Nga-narri ? yibiwi gunga yurrba jingindiya
00:00:12.566	12.566	00:00:13.921	13.921	00:00:01.355	1.355	Hello yanarri gunga
00:00:15.236	15.236	00:00:18.539	18.539	00:00:03.303	3.303	You look like a mine son
00:00:19.171	19.171	00:00:21.618	21.618	00:00:02.447	2.447	Whannim your brother my son yanarri gunga
00:00:22.229	22.229	00:00:24.216	24.216	00:00:01.987	1.987	No more nana nganinggin yibiwi
00:00:25.044	25.044	00:00:27.347	27.347	00:00:02.303	2.303	Wonggo brother ngunung yibiwi ngunung
00:00:27.868	27.868	00:00:30.697	30.697	00:00:02.829	2.829	Yanarri gunga David
00:00:31.039	31.039	00:00:39.105	39.105	00:00:08.066	8.066	Ali? O! ngarlaga… I never know you yanarri gunga nana dadi ngunung
00:00:42.236	42.236	00:00:43.486	43.486	00:00:01.250	1.25	Wonggo ngang-yerden
00:00:44.342	44.342	00:00:47.552	47.552	00:00:03.210	3.21	Yibiwi nurrang yibiwi yigeyu ngunung  
00:00:48.250	48.25	00:00:50.644	50.644	00:00:02.394	2.394	
00:00:51.249	51.249	00:00:55.407	55.407	00:00:04.158	4.158	But they never know David been him? Son 
00:01:02.394	62.394	00:01:04.723	64.723	00:00:02.329	2.329	Wonggo go yingaba
00:01:04.908	64.908	00:01:08.460	68.46	00:00:03.552	3.552	yingaba yinggi mine son, yanarri gunga
00:01:08.874	68.874	00:01:10.164	70.164	00:00:01.290	1.29	Bla my yingaba
00:01:10.789	70.789	00:01:13.631	73.631	00:00:02.842	2.842	No thatun nganinggin yibiwi yanarri gunga
00:01:14.499	74.499	00:01:16.921	76.921	00:00:02.422	2.422	David yanarri gunga nganinggin yibiwi thatun
00:01:17.196	77.196	00:01:20.986	80.986	00:00:03.790	3.79	Ali? A him right nga-yerden
00:01:21.552	81.552	00:01:22.631	82.631	00:00:01.079	1.079	Barig Wajarri
