00:00:00.873	0.873	00:00:07.634	7.634	00:00:06.761	6.761	They put us in a whatsit, boat 
00:00:09.097	9.097	00:00:14.156	14.156	00:00:05.059	5.059	You too try to go, here – you two first
00:00:21.160	21.16	00:00:23.640	23.64	00:00:02.480	2.48	No, you two have a go 
00:00:24.862	24.862	00:00:27.411	27.411	00:00:02.549	2.549	They pushed the two of us
00:00:27.999	27.999	00:00:30.293	30.293	00:00:02.294	2.294	The boat pushed us
00:00:31.097	31.097	00:00:33.999	33.999	00:00:02.902	2.902	In deep water in Giwnin [section of the river]
00:00:36.136	36.136	00:00:38.136	38.136	00:00:02.000	2.0	It was ?
00:00:39.274	39.274	00:00:40.195	40.195	00:00:00.921	0.921	On the edge
00:00:41.705	41.705	00:00:43.333	43.333	00:00:01.628	1.628	Then they said
00:00:44.568	44.568	00:00:46.901	46.901	00:00:02.333	2.333	We both smelled it
00:00:48.332	48.332	00:00:49.881	49.881	00:00:01.549	1.549	Whatsit crocodile
00:00:50.548	50.548	00:00:54.332	54.332	00:00:03.784	3.784	The water, a, the crocodile maybe smelled us
00:00:54.784	54.784	00:00:56.627	56.627	00:00:01.843	1.843	They were just giving off a smell
00:00:56.666	56.666	00:01:04.097	64.097	00:00:07.431	7.431	Maybe the crocodiles came away from the water
00:01:05.941	65.941	00:01:08.450	68.45	00:00:02.509	2.509	Rising up to us two
00:01:09.058	69.058	00:01:13.705	73.705	00:00:04.647	4.647	Aa you two get it, let’s us two go back
00:01:14.136	74.136	00:01:23.117	83.117	00:00:08.981	8.981	Then whatsit they brought us  two a rope, brought us from the deep water
00:01:27.646	87.646	00:01:30.686	90.686	00:00:03.040	3.04	We got a tree to grasp and they went up
00:01:31.843	91.843	00:01:35.588	95.588	00:00:03.745	3.745	Whatsit you two are going like that, they said to us
00:01:37.665	97.665	00:01:41.685	101.685	00:00:04.020	4.02	The place isn’t yours, is it, here?
00:01:42.312	102.312	00:01:44.548	104.548	00:00:02.236	2.236	Well, you go, just the two of you first
00:01:44.941	104.941	00:01:48.686	108.686	00:00:03.745	3.745	Two women, nothing, we were frightened
00:01:50.450	110.45	00:01:53.764	113.764	00:00:03.314	3.314	The water was ? upwards
00:01:54.352	114.352	00:01:55.783	115.783	00:00:01.431	1.431	We went back nhow
00:01:57.372	117.372	00:01:59.489	119.489	00:00:02.117	2.117	We talked to them
00:02:00.058	120.058	00:02:01.470	121.47	00:00:01.412	1.412	Because it was deep
00:02:02.587	122.587	00:02:05.293	125.293	00:00:02.706	2.706	The water at Giwnin
00:02:06.567	126.567	00:02:08.097	128.097	00:00:01.530	1.53	Being at Giwnin
00:02:10.156	130.156	00:02:14.313	134.313	00:00:04.157	4.157	Full up
00:02:16.156	136.156	00:02:18.136	138.136	00:00:01.980	1.98	That’s all
